,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes
391,WHITING,480,-67.1755411,44.7909119,52,55,1,0.485981308,50,57,1,0.46728972,69,39,0,0.638888889,37,71,0,0.342592593,57,51,0,0.527777778
392,WHITNEYVILLE,204,-67.5233265,44.7220213,17,10,0,0.62962963,11,16,0,0.407407407,15,12,0,0.555555556,8,18,1,0.307692308,11,16,0,0.407407407
393,WILLIMANTIC,141,-69.4083826,45.3067165,9,14,0,0.391304348,9,14,0,0.391304348,11,12,0,0.47826087,5,18,0,0.217391304,12,11,0,0.52173913
394,WILTON,3960,-70.2280983,44.5926953,306,288,3,0.515151515,303,293,1,0.508389262,379,216,2,0.63697479,262,332,3,0.441077441,328,268,1,0.55033557
395,WINDHAM,18540,-70.398706,43.7588577,1165,850,41,0.578163772,1064,951,41,0.528039702,1341,677,38,0.664519326,947,1059,50,0.472083749,1237,792,27,0.609659931
396,WINDSOR,2609,-69.580599,44.3106263,167,118,2,0.585964912,138,148,1,0.482517483,184,103,0,0.641114983,134,153,0,0.466898955,173,114,0,0.602787456
397,WINN,406,-68.3326304,45.4512875,24,21,1,0.533333333,20,26,0,0.434782609,26,20,0,0.565217391,16,30,0,0.347826087,17,29,0,0.369565217
398,WINSLOW,7618,-69.6203137,44.5459679,596,346,12,0.632696391,557,381,16,0.593816631,673,272,9,0.712169312,521,416,17,0.556029883,629,312,13,0.668437832
399,WINTERPORT,3985,-68.8449792,44.6377864,297,245,0,0.54797048,257,284,1,0.475046211,340,201,1,0.628465804,238,301,3,0.441558442,301,241,0,0.555350554
400,WINTERVILLE,207,-68.644972,46.9544298,20,20,0,0.5,21,19,0,0.525,26,13,1,0.666666667,16,24,0,0.4,17,23,0,0.425
401,WINTHROP,5993,-69.9769721,44.3050332,649,351,7,0.649,633,365,9,0.634268537,771,227,9,0.77254509,571,424,12,0.573869347,695,308,4,0.692921236
402,WISCASSET,3763,-69.665583,44.0028921,507,378,14,0.572881356,502,380,17,0.569160998,656,230,13,0.740406321,427,458,14,0.482485876,510,379,10,0.57367829
403,WOODLAND,1143,-68.1209284,46.8822935,66,78,1,0.458333333,75,68,2,0.524475524,89,56,0,0.613793103,44,100,1,0.305555556,78,66,1,0.541666667
404,WOODSTOCK,1296,-70.5994659,44.4010489,91,75,1,0.548192771,86,80,1,0.518072289,102,65,0,0.610778443,73,93,1,0.439759036,89,78,0,0.532934132
405,WOODVILLE,236,-68.4427962,45.5014105,5,14,0,0.263157895,6,13,0,0.315789474,5,13,1,0.277777778,4,15,0,0.210526316,7,12,0,0.368421053
406,WOOLWICH,3181,-69.8009529,43.9187038,358,307,12,0.538345865,404,268,5,0.601190476,478,189,10,0.716641679,352,317,8,0.526158445,406,268,3,0.602373887
407,YARMOUTH,8589,-70.1867227,43.8006208,922,552,10,0.62550882,1048,431,5,0.708586883,1194,283,7,0.808395396,1013,453,18,0.690995907,1122,353,9,0.760677966
408,YORK,13290,-70.6482581,43.1617483,1982,1009,107,0.662654631,2192,828,78,0.725827815,2475,544,79,0.819807883,1956,1048,94,0.651131824,2267,766,65,0.747444774
