city,lon,lat,q1pyes,q2pyes,q3pyes,q4pyes,q5pyes
LOWELL,-68.4667778,45.1874242,0.319796954,0.286458333,0.355670103,0.592783505,0.393782383
LUBEC,-66.9835907,44.8585863,0.479949875,0.477748691,0.556274256,0.753826531,0.636129032
LUDLOW,-67.957546,46.1480225,0.311111111,0.310810811,0.461883408,0.653153153,0.502242152
LYMAN,-70.6379682,43.5050963,0.499573379,0.440798226,0.606406319,0.680088496,0.571240106
MACHIAS,-67.461376,44.7150789,0.482204363,0.47794994,0.572941176,0.750885478,0.638095238
MACHIASPORT,-67.3955242,44.6972521,0.371428571,0.42217484,0.586353945,0.697674419,0.569296375
MACWAHOC,-68.2627986,45.6283921,0.212765957,0.372093023,0.659090909,0.818181818,0.720930233
MADAWASKA,-68.3217027,47.3553154,0.320289855,0.507334345,0.533902562,0.816782522,0.708917836
MADISON,-69.8797486,44.7975466,0.391200383,0.394567901,0.531003937,0.691556857,0.582638548
MAGALLOWAY,-71.0004465,44.8543365,0.357142857,0.142857143,0.071428571,0.571428571,0.214285714
MANCHESTER,-69.8603256,44.324513,0.518401015,0.503625577,0.600649351,0.736398964,0.626459144
MAPLETON,-68.1616248,46.6818041,0.320895522,0.386167147,0.507633588,0.685361217,0.530592734
MARIAVILLE,-68.4155785,44.7206287,0.437275986,0.398523985,0.511029412,0.650735294,0.452205882
MARSHFIELD,-67.4774923,44.7331326,0.393103448,0.39084507,0.426056338,0.679442509,0.535211268
MASARDIS,-68.3611507,46.5036534,0.37007874,0.420634921,0.452054795,0.706349206,0.58677686
MATTAWAMKEAG,-68.3544669,45.5136701,0.281012658,0.387434555,0.513157895,0.739130435,0.558746736
MAXFIELD,-68.7522632,45.2833559,0.339285714,0.232142857,0.285714286,0.553571429,0.381818182
MEDDYBEMPS,-67.3558247,45.0384096,0.252631579,0.380434783,0.408602151,0.677419355,0.543478261
MEDFORD,-68.8517011,45.2853307,0.393939394,0.310606061,0.442748092,0.534351145,0.427480916
MEDWAY,-68.5298394,45.6122644,0.256446991,0.323353293,0.41037037,0.663265306,0.485207101
MERCER,-69.9364462,44.6781171,0.430517711,0.366666667,0.513736264,0.664850136,0.497237569
MERRILL,-68.2322503,46.164217,0.328125,0.344262295,0.536,0.617886179,0.5
MEXICO,-70.5433579,44.5571093,0.432997676,0.461054288,0.643642072,0.750586396,0.670321065
MILBRIDGE,-67.8808344,44.5353556,0.438003221,0.438538206,0.557755776,0.733224223,0.592409241
MILFORD,-68.6439667,44.946216,0.481092437,0.464516129,0.557803468,0.714590747,0.627956989
MILLINOCKET,-68.7098119,45.6572639,0.368466899,0.465425532,0.519733925,0.728514764,0.604157452
MILO,-68.986263,45.2533339,0.361359571,0.413443831,0.508256881,0.712727273,0.592117324
MINOT,-70.3471228,44.1563223,0.421646746,0.381275441,0.531929348,0.62145749,0.471147318
MONMOUTH,-70.0356069,44.238682,0.492988606,0.458259325,0.592163847,0.687195392,0.573398577
MONROE,-69.018094,44.6150724,0.560416667,0.443965517,0.613107822,0.646934461,0.572033898
MONSON,-69.5011619,45.2869936,0.365339578,0.311594203,0.485645933,0.572792363,0.477218225
MONTICELLO,-67.8425211,46.3083815,0.248081841,0.404312668,0.490566038,0.688,0.549865229
MONTVILLE,-69.2803202,44.4372947,0.597069597,0.438596491,0.584615385,0.6,0.572533849
MORO,-68.3594763,46.1486604,0.038461538,0.04,0.28,0.24,0.16
MORRILL,-69.1492059,44.4431297,0.44534413,0.383647799,0.527196653,0.63256785,0.510504202
MOSCOW,-69.8910751,45.0713866,0.273809524,0.447698745,0.520661157,0.668032787,0.543209877
NAPLES,-70.6180214,43.986313,0.486704653,0.433495146,0.611838913,0.693907157,0.5460302
NEWBURGH,-69.0003898,44.7173675,0.463990555,0.404674047,0.516687268,0.682481752,0.544895449
NEWCASTLE,-69.5386186,44.0365242,0.644125106,0.590034965,0.678663239,0.749571184,0.667530225
NEWFIELD,-70.8470062,43.6481341,0.483160622,0.42147651,0.61892247,0.689881735,0.552
NEWPORT,-69.2852859,44.8370741,0.388012618,0.360877986,0.476497102,0.688419706,0.540836013
NEWRY,-70.7885765,44.4884245,0.612068966,0.473451327,0.635964912,0.759825328,0.568281938
NOBLEBORO,-69.4851938,44.0795596,0.521383076,0.489120151,0.626281454,0.720519963,0.560677328
NORRIDGEWOCK,-69.7905955,44.7130794,0.402930403,0.40025413,0.524020228,0.679422836,0.556119214
NORTHFIELD,-67.5705504,44.8289649,0.489130435,0.460674157,0.566666667,0.655555556,0.561797753
NORTHPORT,-68.9613175,44.3377823,0.555084746,0.489247312,0.596359743,0.64882227,0.595059076
NORWAY,-70.5448096,44.2139566,0.4890865,0.440635452,0.568570238,0.697972693,0.577981651
OAKFIELD,-68.1589208,46.1007097,0.282967033,0.390934844,0.485795455,0.676966292,0.528248588
OAKLAND,-69.721995,44.5402221,0.459637046,0.444692381,0.570153061,0.709575143,0.611182109
OGUNQUIT,-70.5986223,43.2468352,0.714126808,0.661662818,0.761687571,0.865079365,0.830296128
ORIENT,-67.8400137,45.8170031,0.306818182,0.435294118,0.586206897,0.693181818,0.674418605
ORLAND,-68.7378128,44.5706252,0.505154639,0.458634538,0.593424218,0.705128205,0.558776167
ORONO,-68.6719411,44.8831125,0.769630592,0.673866511,0.73089701,0.776475186,0.762831858
ORRINGTON,-68.7904626,44.7202096,0.441441441,0.405931418,0.526267281,0.631748962,0.522140221
OSBORN,-68.2361132,44.7788954,0.179487179,0.368421053,0.578947368,0.578947368,0.421052632
OTIS,-68.4528017,44.7122953,0.365914787,0.335051546,0.446428571,0.654040404,0.477040816
OTISFIELD,-70.5492259,44.0903488,0.474320242,0.414006179,0.62936345,0.707566462,0.564182195
OXFORD,-70.4931557,44.1317459,0.394135189,0.384576357,0.552004059,0.649697581,0.523592085
PALERMO,-69.4672352,44.4059902,0.423412204,0.383419689,0.535392535,0.648337596,0.474773609
PALMYRA,-69.3586588,44.8464519,0.320772947,0.327380952,0.470127326,0.6640625,0.499017682
PARIS,-70.5006152,44.2597917,0.430187038,0.436388509,0.576556111,0.713642503,0.586298932
